epoch: E01   gen: 0   avg_fitness: 1	   max_fitness: 7	   winner: RANDOM      
epoch: E01   gen: 1   avg_fitness: 2	   max_fitness: 5	   winner: PARENT      
epoch: E01   gen: 2   avg_fitness: 4	   max_fitness: 18	   winner: MUTANT  0.18   
epoch: E01   gen: 3   avg_fitness: 119	   max_fitness: 2207	   winner: MUTANT  0.06   
epoch: E01   gen: 4   avg_fitness: 96409	   max_fitness: 1750017	   winner: PARENT      
epoch: E01   gen: 5   avg_fitness: 46330	   max_fitness: 791857	   winner: PARENT      
epoch: E01   gen: 6   avg_fitness: 6786	   max_fitness: 75710	   winner: PARENT      
epoch: E01   gen: 7   avg_fitness: 5618	   max_fitness: 78524	   winner: PARENT      
epoch: E01   gen: 8   avg_fitness: 100948	   max_fitness: 1816197	   winner: MUTANT  0.07   
epoch: E01   gen: 9   avg_fitness: 19399	   max_fitness: 332050	   winner: PARENT      
epoch: E01   gen: 10   avg_fitness: 11666	   max_fitness: 173177	   winner: MUTANT  0.07   
epoch: E01   gen: 11   avg_fitness: 6881	   max_fitness: 118566	   winner: MUTANT  0.1   
epoch: E01   gen: 12   avg_fitness: 13593	   max_fitness: 163143	   winner: MUTANT  0.05   
epoch: E01   gen: 13   avg_fitness: 56896	   max_fitness: 723159	   winner: MUTANT  0.13   
epoch: E01   gen: 14   avg_fitness: 71757	   max_fitness: 630518	   winner: PARENT      
epoch: E01   gen: 15   avg_fitness: 58542	   max_fitness: 536267	   winner: PARENT      
epoch: E01   gen: 16   avg_fitness: 56150	   max_fitness: 239773	   winner: PARENT      
epoch: E01   gen: 17   avg_fitness: 43787	   max_fitness: 435365	   winner: PARENT      
epoch: E01   gen: 18   avg_fitness: 223350	   max_fitness: 2544718	   winner: MUTANT  0.07   
epoch: E01   gen: 19   avg_fitness: 183278	   max_fitness: 2913706	   winner: CROSS      
epoch: E01   gen: 20   avg_fitness: 14694	   max_fitness: 260379	   winner: MUTANT  0.08   
epoch: E01   gen: 21   avg_fitness: 32291	   max_fitness: 412221	   winner: PARENT      
epoch: E01   gen: 22   avg_fitness: 45247	   max_fitness: 534607	   winner: MUTANT  0.09   
